qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
mikado.CAAJIE010000906.1G1.1	1632.57628819	0.647463566222	1	26	1.24344990555	0.00079130232837	1.96803256393e-09	Signal transducer and activator of transcription 1-alpha/beta-like	
mikado.CAAJIE010000906.1G1.1	222.264027574	1.6224782922	3	8808	0.785635717912	0.201376331123	3.25693564812e-05	SH2 domain-containing protein	
mikado.CAAJIE010000906.1G1.2	1628.23062016	0.660677924518	1	26	1.24169322247	0.000756555405534	1.88161417087e-09	Signal transducer and activator of transcription 1-alpha/beta-like	
mikado.CAAJIE010000906.1G1.2	222.546628059	1.66212136709	3	8808	0.785879883725	0.201623736441	3.260937028e-05	SH2 domain-containing protein	
mikado.CAAJIE010000779.1G2.2	139.322665513	1.02394932821	2	21834	0.645729066205	0.0	0.0	BED-type domain-containing protein (Fragment)	
mikado.CAAJIE010000779.1G2.1	8.30467456912e-09	0.560062753088	1	19536	0.590000000003	0.0	0.0	BED-type domain-containing protein	
mikado.CAAJIE010000779.1G2.3	8.30467456912e-09	0.55884264337	1	19536	0.590000000003	0.0	0.0	BED-type domain-containing protein	
mikado.CAAJIE010000248.1G1.1	2511.29413292	0.565484397395	1	11	1.59503628866	0.000978552407317	1.35947509462e-07	Fermitin family member 3b (Fragment)	
mikado.CAAJIE010000248.1G1.1	50.908329961	1.15614915503	2	111776	0.650392642289	0.0755269731284	7.27315365222e-07	PH domain-containing protein	
mikado.CAAJIE010000548.1G9.1	2211.5782933	0.516724658218	1	22	1.49676893704	0.0417690828527	2.90263626914e-07	Cell wall integrity and stress response component 2-like	
mikado.CAAJIE010000548.1G9.1	284.28375412	0.51469854033	1	1321	0.712976996573	0.0174782328281	1.5763196995e-06	MADF domain-containing protein (Fragment)	
mikado.CAAJIE010000801.1G9.1	277.801743958	6.56334533066	12	6197	1.00382109671	0.571128750571	0.000108065988755	Immunoglobulin V-set domain-containing protein	
mikado.CAAJIE010000801.1G9.1	189.723038206	27.8950883433	50	239674	0.665889215282	0.0	0.0	Ig-like domain-containing protein	
mikado.CAAJIE010001167.1G1.1	244.534776652	1.59701635886	3	10754	0.697673600873	0.0186031876436	3.80322325394e-08	Transposase Tc1-like domain-containing protein	
mikado.CAAJIE010000581.1G1.1	5350.06321066	34.196595151	65	371	2.7675779874	0.0708361824397	0.000476322124354	Prostate transmembrane protein, androgen induced 1	PMEPA1
mikado.CAAJIE010000581.1G1.1	2458.07126428	9.15624163181	15	126	1.59300425959	0.0373127119222	8.28184364891e-07	Low-density lipoprotein receptor class A domain-containing protein 4-like	PMEPA1
mikado.CAAJIE010000043.1G1.1	6.67640101811e-10	0.622446663553	1	5539	0.625293731171	0.0665919450049	1.59164769098e-08	Ribosomal protein L7Ae/L30e/S12e/Gadd45 domain-containing protein	
mikado.CAAJIE010000537.1G1.1	120.673497136	6.37515538423	11	161712	0.654901441449	0.0313811837266	7.60975502343e-07	Reverse transcriptase domain-containing protein	
mikado.CAAJIE010000683.1G1.1	3604.41238604	1.34365046572	2	33	2.03256058626	0.00150119190003	6.82856837403e-09	Protein phosphatase 2, regulatory subunit B', beta	
mikado.CAAJIE010001245.1G1.1	704.412238085	1.72374015629	3	1296	0.87526486937	0.00660360946041	3.05611662098e-06	Polypyrimidine tract-binding protein 3-like	
mikado.CAAJIE010000560.1G22.2	3416.70557363	0.612453298159	1	4	1.95812156448	0.0027157259665	1.32050557417e-08	ATP-binding cassette, sub-family G (WHITE), member 2b (Fragment)	
mikado.CAAJIE010000560.1G22.2	82.3668371195	0.56007908447	1	14387	0.626319443557	0.00636360131097	6.96666398051e-10	ABC-2 type transporter domain-containing protein	
mikado.CAAJIE010000560.1G22.1	2404.77522757	1.20229744193	2	52	1.55402149896	0.00398378708302	3.87418547699e-08	ATP-binding cassette, sub-family G (WHITE), member 2b	ABCG2B
mikado.CAAJIE010000560.1G22.1	66.5004526796	0.553125044905	1	14387	0.617628110959	0.00193949034556	2.12329102197e-10	ABC-2 type transporter domain-containing protein	ABCG2B
mikado.CAAJIE010000560.1G22.3	2.17616031458e-15	0.551157740103	1	4	0.591297644057	0.00244838456459	1.19051240999e-08	ATP-binding cassette, sub-family G (WHITE), member 2b (Fragment)	
mikado.CAAJIE010000560.1G22.4	3416.70557363	0.612453298159	1	4	1.95812156448	0.0027157259665	1.32050557417e-08	ATP-binding cassette, sub-family G (WHITE), member 2b (Fragment)	
mikado.CAAJIE010000560.1G22.4	82.3668371195	0.56007908447	1	14387	0.626319443557	0.00636360131097	6.96666398051e-10	ABC-2 type transporter domain-containing protein	
