qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
mikado.CAAJIE010000906.1G1.1	MF	0003700	DNA-binding transcription factor activity	4.75556113997	0.621341257161	1	4
mikado.CAAJIE010000906.1G1.1	BP	0007165	signal transduction	4.05919559623	0.597240908461	1	4
mikado.CAAJIE010000906.1G1.1	BP	0006355	regulation of DNA-templated transcription	3.52153343427	0.577178678535	4	4
mikado.CAAJIE010000906.1G1.2	MF	0003700	DNA-binding transcription factor activity	4.7555523795	0.62134096551	1	4
mikado.CAAJIE010000906.1G1.2	BP	0007165	signal transduction	4.05918811857	0.597240639008	1	4
mikado.CAAJIE010000906.1G1.2	BP	0006355	regulation of DNA-templated transcription	3.52152694707	0.577178427561	4	4
mikado.CAAJIE010000779.1G2.2	MF	0003677	DNA binding	3.15676587762	0.562681048274	1	8
mikado.CAAJIE010000779.1G2.2	MF	0046872	metal ion binding	2.17074666305	0.518629751851	3	7
mikado.CAAJIE010000779.1G2.1	MF	0003677	DNA binding	3.15678823022	0.562681961635	1	8
mikado.CAAJIE010000779.1G2.1	MF	0046872	metal ion binding	2.0649099928	0.513349418822	3	7
mikado.CAAJIE010000779.1G2.3	MF	0003677	DNA binding	3.15677440257	0.562681396617	1	8
mikado.CAAJIE010000779.1G2.3	MF	0046872	metal ion binding	2.06286262709	0.513245954843	3	7
mikado.CAAJIE010000248.1G1.1	BP	0007229	integrin-mediated signaling pathway	10.9521488544	0.785225329595	1	3
mikado.CAAJIE010000248.1G1.1	CC	0070161	anchoring junction	9.0868763987	0.742397359586	1	3
mikado.CAAJIE010000248.1G1.1	BP	0007155	cell adhesion	7.64063338701	0.706057420915	2	3
mikado.CAAJIE010000548.1G9.1	CC	0005634	nucleus	4.03036058462	0.596200005866	1	8
mikado.CAAJIE010000548.1G9.1	MF	0003677	DNA binding	3.15630854295	0.562662360168	1	8
mikado.CAAJIE010000548.1G9.1	BP	0006351	DNA-templated transcription	1.63357078676	0.490281890927	1	3
mikado.CAAJIE010000548.1G9.1	BP	0006355	regulation of DNA-templated transcription	1.25836395527	0.467580746571	3	3
mikado.CAAJIE010001167.1G1.1	BP	0006313	DNA transposition	7.81325431587	0.710565930169	1	3
mikado.CAAJIE010001167.1G1.1	MF	0003677	DNA binding	3.15253941818	0.562508290509	1	3
mikado.CAAJIE010001167.1G1.1	BP	0015074	DNA integration	6.85075754138	0.684745780499	3	3
mikado.CAAJIE010000581.1G1.1	MF	0070412	R-SMAD binding	15.4037006382	0.853205495196	1	77
mikado.CAAJIE010000581.1G1.1	BP	0030512	negative regulation of transforming growth factor beta receptor signaling pathway	14.1097144977	0.845471273494	1	77
mikado.CAAJIE010000581.1G1.1	CC	0031901	early endosome membrane	10.9543661607	0.785273969271	1	77
mikado.CAAJIE010000043.1G1.1	MF	0035368	selenocysteine insertion sequence binding	15.6443096223	0.854607309568	1	6
mikado.CAAJIE010000537.1G1.1	MF	0003964	RNA-directed DNA polymerase activity	7.931114741	0.713615650629	1	1
mikado.CAAJIE010000537.1G1.1	BP	0006278	RNA-templated DNA biosynthetic process	7.55600332621	0.703828450961	1	1
mikado.CAAJIE010000683.1G1.1	CC	0000159	protein phosphatase type 2A complex	11.733760106	0.802076450654	1	2
mikado.CAAJIE010000683.1G1.1	MF	0019888	protein phosphatase regulator activity	10.7601239773	0.780994157237	1	2
mikado.CAAJIE010000683.1G1.1	BP	0007165	signal transduction	4.05747856266	0.597179029737	1	2
mikado.CAAJIE010000879.1G1.1	BP	0031396	regulation of protein ubiquitination	12.183223441	0.811512970569	1	1
mikado.CAAJIE010001245.1G1.1	BP	0006397	mRNA processing	6.78656406011	0.682961023028	1	3
mikado.CAAJIE010001245.1G1.1	CC	0005634	nucleus	4.02749652042	0.596096414254	1	3
mikado.CAAJIE010001245.1G1.1	MF	0003723	RNA binding	3.57565343932	0.579264463264	1	3
mikado.CAAJIE010000560.1G22.2	MF	0140359	ABC-type transporter activity	6.77671317739	0.682686395241	1	2
mikado.CAAJIE010000560.1G22.2	BP	0055085	transmembrane transport	2.78625659808	0.547069056003	1	2
mikado.CAAJIE010000560.1G22.2	CC	0016020	membrane	0.737118515596	0.429362340541	1	2
mikado.CAAJIE010000560.1G22.2	MF	0005524	ATP binding	1.34541947885	0.473120701487	8	1
mikado.CAAJIE010000560.1G22.1	MF	0140359	ABC-type transporter activity	6.78189208052	0.682830800133	1	4
mikado.CAAJIE010000560.1G22.1	BP	0055085	transmembrane transport	2.78838591249	0.547161650016	1	4
mikado.CAAJIE010000560.1G22.1	CC	0016020	membrane	0.737681836676	0.429409966201	1	4
mikado.CAAJIE010000560.1G22.1	MF	0005524	ATP binding	1.54219619838	0.485016899203	8	2
mikado.CAAJIE010000560.1G22.3	MF	0140359	ABC-type transporter activity	6.77420692431	0.682616492831	1	2
mikado.CAAJIE010000560.1G22.3	BP	0055085	transmembrane transport	2.78522614807	0.547024233804	1	2
mikado.CAAJIE010000560.1G22.3	CC	0016020	membrane	0.736845904745	0.429339286277	1	2
mikado.CAAJIE010000560.1G22.3	MF	0005524	ATP binding	1.58159800985	0.487305843569	8	1
mikado.CAAJIE010000560.1G22.4	MF	0140359	ABC-type transporter activity	6.77671317739	0.682686395241	1	2
mikado.CAAJIE010000560.1G22.4	BP	0055085	transmembrane transport	2.78625659808	0.547069056003	1	2
mikado.CAAJIE010000560.1G22.4	CC	0016020	membrane	0.737118515596	0.429362340541	1	2
mikado.CAAJIE010000560.1G22.4	MF	0005524	ATP binding	1.34541947885	0.473120701487	8	1
mikado.CAAJIE010000560.1G22.5	MF	0140359	ABC-type transporter activity	6.76417796343	0.682336643574	1	1
mikado.CAAJIE010000560.1G22.5	BP	0055085	transmembrane transport	2.78110272456	0.546844791367	1	1
mikado.CAAJIE010000560.1G22.5	CC	0016020	membrane	0.735755031845	0.429246990195	1	1
mikado.CAAJIE010000560.1G22.5	MF	0005524	ATP binding	2.96261288592	0.554621759713	8	1
mikado.CAAJIE010000623.1G3.1	CC	0016020	membrane	0.738066618137	0.429442486879	1	41
mikado.CAAJIE010000623.1G3.1	BP	0007155	cell adhesion	0.154092306162	0.361697668852	1	1
mikado.CAAJIE010000623.1G3.1	CC	0005923	bicellular tight junction	0.223103538416	0.37328353173	2	1
mikado.CAAJIE010000623.1G3.1	CC	0071944	cell periphery	0.0512909486798	0.337584177391	9	1
mikado.CAAJIE010000159.1G1.1	CC	0016020	membrane	0.737908189598	0.429429097959	1	14
mikado.CAAJIE010000159.1G1.1	MF	0003676	nucleic acid binding	0.253928958579	0.377868260816	1	1
mikado.CAAJIE010000701.1G6.1	MF	0004222	metalloendopeptidase activity	7.48424766256	0.70192876638	1	2
mikado.CAAJIE010000701.1G6.1	BP	0048856	anatomical structure development	6.48413834314	0.674436863261	1	2
mikado.CAAJIE010000701.1G6.1	CC	0016020	membrane	0.737665169369	0.429408557334	1	2
mikado.CAAJIE010000701.1G6.1	BP	0006508	proteolysis	4.3442000267	0.607336651665	3	2
mikado.CAAJIE010000701.1G6.1	MF	0046872	metal ion binding	2.50918541252	0.53470273133	6	2
mikado.CAAJIE010000856.1G2.1	CC	0016020	membrane	0.736689859324	0.429326087846	1	4
mikado.CAAJIE010000060.1G6.1	MF	0004674	protein serine/threonine kinase activity	7.11588875275	0.692030049454	1	2
mikado.CAAJIE010000060.1G6.1	BP	0006468	protein phosphorylation	5.34611676826	0.640426665116	1	2
mikado.CAAJIE010000060.1G6.1	MF	0005524	ATP binding	2.96710638787	0.55481122058	7	2
mikado.CAAJIE010000692.1G2.1	CC	0016020	membrane	0.737216743981	0.429370646513	1	1
mikado.CAAJIE010001126.1G1.1	MF	0003676	nucleic acid binding	2.18968297723	0.519560824247	1	31
mikado.CAAJIE010001102.1G1.1	CC	0016020	membrane	0.737217996858	0.42937075245	1	2
mikado.CAAJIE010001102.1G1.2	CC	0016020	membrane	0.73721053158	0.429370121223	1	2
mikado.CAAJIE010000093.1G49.1	CC	0016020	membrane	0.735653621128	0.429238406608	1	2
mikado.CAAJIE010000093.1G62.1	CC	0016020	membrane	0.735647142592	0.429237858233	1	2
mikado.CAAJIE010000533.1G6.1	MF	0004620	phospholipase activity	9.80042136577	0.759257670347	1	10
mikado.CAAJIE010000533.1G6.1	CC	0016020	membrane	0.327724716972	0.38782300113	1	5
mikado.CAAJIE010001045.1G2.2	CC	0005634	nucleus	4.03098818967	0.596222701075	1	4
mikado.CAAJIE010001045.1G2.2	CC	0005737	cytoplasm	2.00943126359	0.510527402713	4	4
mikado.CAAJIE010001045.1G2.2	CC	0016020	membrane	0.158826697843	0.362566653815	8	1
mikado.CAAJIE010000800.1G2.1	MF	0003677	DNA binding	2.52678288414	0.535507852158	1	4
mikado.CAAJIE010000800.1G2.1	CC	0016020	membrane	0.737771819868	0.429417572095	1	5
mikado.CAAJIE010001070.1G2.1	CC	0016020	membrane	0.737853086213	0.429424440791	1	13
mikado.CAAJIE010000233.1G14.1	CC	0016020	membrane	0.73804461939	0.429440627834	1	60
